epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,347.681,0.59877,0.5506,0.87297,0.98892,0.98579,0.98514,0.81594,0.65121,0.47761,0.85403,0.000241438,0.000241438,0.000241438
165,349.443,0.52885,0.51504,0.86352,0.98892,0.98579,0.98514,0.81594,0.65121,0.47761,0.85403,0.00023525,0.00023525,0.00023525
166,351.945,0.54384,0.52974,0.8708,0.98068,0.98663,0.98496,0.82041,0.65048,0.47695,0.855,0.000229063,0.000229063,0.000229063
167,354.137,0.57129,0.54782,0.88678,0.98068,0.98663,0.98496,0.82041,0.65048,0.47695,0.855,0.000222875,0.000222875,0.000222875
168,356.031,0.5678,0.603,0.88707,0.9755,0.98663,0.98468,0.81701,0.64602,0.47304,0.85574,0.000216688,0.000216688,0.000216688
169,357.993,0.55465,0.5335,0.8483,0.9755,0.98663,0.98468,0.81701,0.64602,0.47304,0.85574,0.0002105,0.0002105,0.0002105
170,359.915,0.52298,0.54527,0.88859,0.97776,0.9847,0.98468,0.8207,0.64012,0.46679,0.85454,0.000204313,0.000204313,0.000204313
171,361.784,0.56122,0.53542,0.86226,0.97776,0.9847,0.98468,0.8207,0.64012,0.46679,0.85454,0.000198125,0.000198125,0.000198125
172,363.975,0.55166,0.52976,0.87228,0.98702,0.97101,0.98425,0.81439,0.65256,0.47369,0.85678,0.000191938,0.000191938,0.000191938
173,366.438,0.56629,0.51959,0.85902,0.98702,0.97101,0.98425,0.81439,0.65256,0.47369,0.85678,0.00018575,0.00018575,0.00018575
174,368.238,0.5425,0.55009,0.84749,0.99118,0.96968,0.98374,0.81559,0.65973,0.47899,0.85916,0.000179563,0.000179563,0.000179563
175,370.129,0.53425,0.51563,0.83659,0.99118,0.96968,0.98374,0.81559,0.65973,0.47899,0.85916,0.000173375,0.000173375,0.000173375
176,372.398,0.56283,0.52856,0.86878,0.98662,0.97101,0.98435,0.81407,0.65776,0.48889,0.85856,0.000167188,0.000167188,0.000167188
177,374.167,0.53067,0.52903,0.87485,0.98662,0.97101,0.98435,0.81407,0.65776,0.48889,0.85856,0.000161,0.000161,0.000161
178,376.674,0.52499,0.52828,0.86774,0.98245,0.96642,0.98428,0.81634,0.64818,0.48348,0.85703,0.000154812,0.000154812,0.000154812
